ESTAR: Stopping Powers and Range Tables for Electrons

BERYLLIUM                                                                  

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 3.033E-04 
1.250E-02 4.504E-04 
1.500E-02 6.226E-04 
1.750E-02 8.187E-04 
2.000E-02 1.038E-03 
2.500E-02 1.544E-03 
3.000E-02 2.134E-03 
3.500E-02 2.804E-03 
4.000E-02 3.551E-03 
4.500E-02 4.371E-03 
5.000E-02 5.262E-03 
5.500E-02 6.219E-03 
6.000E-02 7.242E-03 
7.000E-02 9.471E-03 
8.000E-02 1.193E-02 
9.000E-02 1.461E-02 
1.000E-01 1.749E-02 
1.250E-01 2.549E-02 
1.500E-01 3.451E-02 
1.750E-01 4.442E-02 
2.000E-01 5.509E-02 
2.500E-01 7.836E-02 
3.000E-01 1.037E-01 
3.500E-01 1.308E-01 
4.000E-01 1.591E-01 
4.500E-01 1.885E-01 
5.000E-01 2.188E-01 
5.500E-01 2.498E-01 
6.000E-01 2.814E-01 
7.000E-01 3.459E-01 
8.000E-01 4.118E-01 
9.000E-01 4.786E-01 
1.000E+00 5.460E-01 
1.250E+00 7.162E-01 
1.500E+00 8.873E-01 
1.750E+00 1.058E+00 
2.000E+00 1.229E+00 
2.500E+00 1.568E+00 
3.000E+00 1.903E+00 
3.500E+00 2.234E+00 
4.000E+00 2.563E+00 
4.500E+00 2.888E+00 
5.000E+00 3.210E+00 
5.500E+00 3.529E+00 
6.000E+00 3.846E+00 
7.000E+00 4.473E+00 
8.000E+00 5.091E+00 
9.000E+00 5.701E+00 
1.000E+01 6.304E+00 
1.250E+01 7.782E+00 
1.500E+01 9.221E+00 
1.750E+01 1.063E+01 
2.000E+01 1.200E+01 
2.500E+01 1.465E+01 
3.000E+01 1.720E+01 
3.500E+01 1.965E+01 
4.000E+01 2.201E+01 
4.500E+01 2.429E+01 
5.000E+01 2.650E+01 
5.500E+01 2.863E+01 
6.000E+01 3.069E+01 
7.000E+01 3.464E+01 
8.000E+01 3.836E+01 
9.000E+01 4.189E+01 
1.000E+02 4.524E+01 
1.250E+02 5.295E+01 
1.500E+02 5.985E+01 
1.750E+02 6.611E+01 
2.000E+02 7.183E+01 
2.500E+02 8.197E+01 
3.000E+02 9.077E+01 
3.500E+02 9.854E+01 
4.000E+02 1.055E+02 
4.500E+02 1.118E+02 
5.000E+02 1.175E+02 
5.500E+02 1.228E+02 
6.000E+02 1.277E+02 
7.000E+02 1.365E+02 
8.000E+02 1.443E+02 
9.000E+02 1.513E+02 
1.000E+03 1.575E+02 
