ESTAR: Stopping Powers and Range Tables for Electrons

POLYCARBONATE (MAKROLON, LEXAN)                                                       

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 2.634E-04 
1.250E-02 3.906E-04 
1.500E-02 5.393E-04 
1.750E-02 7.086E-04 
2.000E-02 8.978E-04 
2.500E-02 1.333E-03 
3.000E-02 1.842E-03 
3.500E-02 2.418E-03 
4.000E-02 3.061E-03 
4.500E-02 3.766E-03 
5.000E-02 4.531E-03 
5.500E-02 5.353E-03 
6.000E-02 6.231E-03 
7.000E-02 8.144E-03 
8.000E-02 1.025E-02 
9.000E-02 1.255E-02 
1.000E-01 1.501E-02 
1.250E-01 2.186E-02 
1.500E-01 2.957E-02 
1.750E-01 3.802E-02 
2.000E-01 4.711E-02 
2.500E-01 6.690E-02 
3.000E-01 8.843E-02 
3.500E-01 1.113E-01 
4.000E-01 1.352E-01 
4.500E-01 1.600E-01 
5.000E-01 1.855E-01 
5.500E-01 2.116E-01 
6.000E-01 2.382E-01 
7.000E-01 2.925E-01 
8.000E-01 3.479E-01 
9.000E-01 4.041E-01 
1.000E+00 4.608E-01 
1.250E+00 6.039E-01 
1.500E+00 7.479E-01 
1.750E+00 8.919E-01 
2.000E+00 1.036E+00 
2.500E+00 1.321E+00 
3.000E+00 1.603E+00 
3.500E+00 1.883E+00 
4.000E+00 2.159E+00 
4.500E+00 2.432E+00 
5.000E+00 2.702E+00 
5.500E+00 2.970E+00 
6.000E+00 3.235E+00 
7.000E+00 3.758E+00 
8.000E+00 4.272E+00 
9.000E+00 4.778E+00 
1.000E+01 5.276E+00 
1.250E+01 6.491E+00 
1.500E+01 7.665E+00 
1.750E+01 8.805E+00 
2.000E+01 9.911E+00 
2.500E+01 1.204E+01 
3.000E+01 1.406E+01 
3.500E+01 1.598E+01 
4.000E+01 1.782E+01 
4.500E+01 1.959E+01 
5.000E+01 2.128E+01 
5.500E+01 2.291E+01 
6.000E+01 2.448E+01 
7.000E+01 2.745E+01 
8.000E+01 3.023E+01 
9.000E+01 3.284E+01 
1.000E+02 3.530E+01 
1.250E+02 4.089E+01 
1.500E+02 4.583E+01 
1.750E+02 5.025E+01 
2.000E+02 5.426E+01 
2.500E+02 6.130E+01 
3.000E+02 6.733E+01 
3.500E+02 7.260E+01 
4.000E+02 7.729E+01 
4.500E+02 8.151E+01 
5.000E+02 8.535E+01 
5.500E+02 8.886E+01 
6.000E+02 9.211E+01 
7.000E+02 9.793E+01 
8.000E+02 1.030E+02 
9.000E+02 1.076E+02 
1.000E+03 1.117E+02 
