ESTAR: Stopping Powers and Range Tables for Electrons

NICKEL                                                                    

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 4.348E-04 
1.250E-02 6.298E-04 
1.500E-02 8.546E-04 
1.750E-02 1.108E-03 
2.000E-02 1.388E-03 
2.500E-02 2.027E-03 
3.000E-02 2.764E-03 
3.500E-02 3.594E-03 
4.000E-02 4.512E-03 
4.500E-02 5.515E-03 
5.000E-02 6.597E-03 
5.500E-02 7.755E-03 
6.000E-02 8.988E-03 
7.000E-02 1.166E-02 
8.000E-02 1.459E-02 
9.000E-02 1.777E-02 
1.000E-01 2.117E-02 
1.250E-01 3.057E-02 
1.500E-01 4.109E-02 
1.750E-01 5.257E-02 
2.000E-01 6.488E-02 
2.500E-01 9.159E-02 
3.000E-01 1.205E-01 
3.500E-01 1.511E-01 
4.000E-01 1.831E-01 
4.500E-01 2.161E-01 
5.000E-01 2.500E-01 
5.500E-01 2.845E-01 
6.000E-01 3.195E-01 
7.000E-01 3.907E-01 
8.000E-01 4.629E-01 
9.000E-01 5.357E-01 
1.000E+00 6.087E-01 
1.250E+00 7.914E-01 
1.500E+00 9.728E-01 
1.750E+00 1.152E+00 
2.000E+00 1.329E+00 
2.500E+00 1.675E+00 
3.000E+00 2.012E+00 
3.500E+00 2.338E+00 
4.000E+00 2.656E+00 
4.500E+00 2.965E+00 
5.000E+00 3.267E+00 
5.500E+00 3.562E+00 
6.000E+00 3.849E+00 
7.000E+00 4.405E+00 
8.000E+00 4.937E+00 
9.000E+00 5.448E+00 
1.000E+01 5.939E+00 
1.250E+01 7.092E+00 
1.500E+01 8.151E+00 
1.750E+01 9.131E+00 
2.000E+01 1.004E+01 
2.500E+01 1.170E+01 
3.000E+01 1.317E+01 
3.500E+01 1.450E+01 
4.000E+01 1.570E+01 
4.500E+01 1.681E+01 
5.000E+01 1.783E+01 
5.500E+01 1.877E+01 
6.000E+01 1.965E+01 
7.000E+01 2.126E+01 
8.000E+01 2.269E+01 
9.000E+01 2.398E+01 
1.000E+02 2.515E+01 
1.250E+02 2.768E+01 
1.500E+02 2.980E+01 
1.750E+02 3.162E+01 
2.000E+02 3.322E+01 
2.500E+02 3.591E+01 
3.000E+02 3.814E+01 
3.500E+02 4.004E+01 
4.000E+02 4.169E+01 
4.500E+02 4.315E+01 
5.000E+02 4.446E+01 
5.500E+02 4.564E+01 
6.000E+02 4.673E+01 
7.000E+02 4.866E+01 
8.000E+02 5.034E+01 
9.000E+02 5.182E+01 
1.000E+03 5.314E+01 
