ESTAR: Stopping Powers and Range Tables for Electrons

TANTALUM                                                                   

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 7.418E-04 
1.250E-02 1.039E-03 
1.500E-02 1.376E-03 
1.750E-02 1.751E-03 
2.000E-02 2.163E-03 
2.500E-02 3.093E-03 
3.000E-02 4.154E-03 
3.500E-02 5.339E-03 
4.000E-02 6.641E-03 
4.500E-02 8.053E-03 
5.000E-02 9.571E-03 
5.500E-02 1.119E-02 
6.000E-02 1.290E-02 
7.000E-02 1.660E-02 
8.000E-02 2.064E-02 
9.000E-02 2.498E-02 
1.000E-01 2.962E-02 
1.250E-01 4.232E-02 
1.500E-01 5.642E-02 
1.750E-01 7.169E-02 
2.000E-01 8.796E-02 
2.500E-01 1.229E-01 
3.000E-01 1.605E-01 
3.500E-01 1.999E-01 
4.000E-01 2.407E-01 
4.500E-01 2.826E-01 
5.000E-01 3.253E-01 
5.500E-01 3.686E-01 
6.000E-01 4.123E-01 
7.000E-01 5.005E-01 
8.000E-01 5.893E-01 
9.000E-01 6.780E-01 
1.000E+00 7.664E-01 
1.250E+00 9.849E-01 
1.500E+00 1.198E+00 
1.750E+00 1.407E+00 
2.000E+00 1.609E+00 
2.500E+00 1.999E+00 
3.000E+00 2.368E+00 
3.500E+00 2.719E+00 
4.000E+00 3.054E+00 
4.500E+00 3.375E+00 
5.000E+00 3.682E+00 
5.500E+00 3.976E+00 
6.000E+00 4.260E+00 
7.000E+00 4.796E+00 
8.000E+00 5.297E+00 
9.000E+00 5.766E+00 
1.000E+01 6.208E+00 
1.250E+01 7.210E+00 
1.500E+01 8.094E+00 
1.750E+01 8.885E+00 
2.000E+01 9.599E+00 
2.500E+01 1.085E+01 
3.000E+01 1.192E+01 
3.500E+01 1.285E+01 
4.000E+01 1.368E+01 
4.500E+01 1.442E+01 
5.000E+01 1.509E+01 
5.500E+01 1.570E+01 
6.000E+01 1.627E+01 
7.000E+01 1.728E+01 
8.000E+01 1.816E+01 
9.000E+01 1.895E+01 
1.000E+02 1.966E+01 
1.250E+02 2.116E+01 
1.500E+02 2.240E+01 
1.750E+02 2.345E+01 
2.000E+02 2.436E+01 
2.500E+02 2.589E+01 
3.000E+02 2.714E+01 
3.500E+02 2.820E+01 
4.000E+02 2.912E+01 
4.500E+02 2.993E+01 
5.000E+02 3.065E+01 
5.500E+02 3.131E+01 
6.000E+02 3.190E+01 
7.000E+02 3.296E+01 
8.000E+02 3.388E+01 
9.000E+02 3.469E+01 
1.000E+03 3.541E+01 
