ESTAR: Stopping Powers and Range Tables for Electrons

TUNGSTEN                                                                   

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 7.490E-04 
1.250E-02 1.048E-03 
1.500E-02 1.387E-03 
1.750E-02 1.765E-03 
2.000E-02 2.179E-03 
2.500E-02 3.114E-03 
3.000E-02 4.181E-03 
3.500E-02 5.372E-03 
4.000E-02 6.681E-03 
4.500E-02 8.101E-03 
5.000E-02 9.627E-03 
5.500E-02 1.125E-02 
6.000E-02 1.298E-02 
7.000E-02 1.669E-02 
8.000E-02 2.075E-02 
9.000E-02 2.511E-02 
1.000E-01 2.977E-02 
1.250E-01 4.253E-02 
1.500E-01 5.668E-02 
1.750E-01 7.202E-02 
2.000E-01 8.835E-02 
2.500E-01 1.235E-01 
3.000E-01 1.611E-01 
3.500E-01 2.007E-01 
4.000E-01 2.416E-01 
4.500E-01 2.836E-01 
5.000E-01 3.265E-01 
5.500E-01 3.699E-01 
6.000E-01 4.137E-01 
7.000E-01 5.022E-01 
8.000E-01 5.911E-01 
9.000E-01 6.800E-01 
1.000E+00 7.686E-01 
1.250E+00 9.875E-01 
1.500E+00 1.201E+00 
1.750E+00 1.410E+00 
2.000E+00 1.613E+00 
2.500E+00 2.003E+00 
3.000E+00 2.372E+00 
3.500E+00 2.724E+00 
4.000E+00 3.059E+00 
4.500E+00 3.380E+00 
5.000E+00 3.687E+00 
5.500E+00 3.981E+00 
6.000E+00 4.265E+00 
7.000E+00 4.801E+00 
8.000E+00 5.301E+00 
9.000E+00 5.770E+00 
1.000E+01 6.211E+00 
1.250E+01 7.212E+00 
1.500E+01 8.094E+00 
1.750E+01 8.882E+00 
2.000E+01 9.594E+00 
2.500E+01 1.084E+01 
3.000E+01 1.190E+01 
3.500E+01 1.283E+01 
4.000E+01 1.365E+01 
4.500E+01 1.439E+01 
5.000E+01 1.506E+01 
5.500E+01 1.567E+01 
6.000E+01 1.623E+01 
7.000E+01 1.724E+01 
8.000E+01 1.812E+01 
9.000E+01 1.890E+01 
1.000E+02 1.960E+01 
1.250E+02 2.110E+01 
1.500E+02 2.233E+01 
1.750E+02 2.337E+01 
2.000E+02 2.428E+01 
2.500E+02 2.579E+01 
3.000E+02 2.704E+01 
3.500E+02 2.809E+01 
4.000E+02 2.900E+01 
4.500E+02 2.980E+01 
5.000E+02 3.052E+01 
5.500E+02 3.117E+01 
6.000E+02 3.176E+01 
7.000E+02 3.281E+01 
8.000E+02 3.372E+01 
9.000E+02 3.453E+01 
1.000E+03 3.524E+01 
