ESTAR: Stopping Powers and Range Tables for Electrons

AIR, DRY (NEAR SEA LEVEL)                                                          

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 2.884E-04 
1.250E-02 4.269E-04 
1.500E-02 5.886E-04 
1.750E-02 7.727E-04 
2.000E-02 9.782E-04 
2.500E-02 1.451E-03 
3.000E-02 2.002E-03 
3.500E-02 2.627E-03 
4.000E-02 3.322E-03 
4.500E-02 4.085E-03 
5.000E-02 4.913E-03 
5.500E-02 5.802E-03 
6.000E-02 6.751E-03 
7.000E-02 8.817E-03 
8.000E-02 1.110E-02 
9.000E-02 1.357E-02 
1.000E-01 1.623E-02 
1.250E-01 2.362E-02 
1.500E-01 3.193E-02 
1.750E-01 4.103E-02 
2.000E-01 5.082E-02 
2.500E-01 7.213E-02 
3.000E-01 9.528E-02 
3.500E-01 1.199E-01 
4.000E-01 1.456E-01 
4.500E-01 1.722E-01 
5.000E-01 1.995E-01 
5.500E-01 2.274E-01 
6.000E-01 2.558E-01 
7.000E-01 3.136E-01 
8.000E-01 3.723E-01 
9.000E-01 4.316E-01 
1.000E+00 4.912E-01 
1.250E+00 6.408E-01 
1.500E+00 7.901E-01 
1.750E+00 9.383E-01 
2.000E+00 1.085E+00 
2.500E+00 1.374E+00 
3.000E+00 1.658E+00 
3.500E+00 1.935E+00 
4.000E+00 2.208E+00 
4.500E+00 2.476E+00 
5.000E+00 2.740E+00 
5.500E+00 2.999E+00 
6.000E+00 3.255E+00 
7.000E+00 3.757E+00 
8.000E+00 4.246E+00 
9.000E+00 4.724E+00 
1.000E+01 5.192E+00 
1.250E+01 6.323E+00 
1.500E+01 7.405E+00 
1.750E+01 8.445E+00 
2.000E+01 9.447E+00 
2.500E+01 1.135E+01 
3.000E+01 1.315E+01 
3.500E+01 1.485E+01 
4.000E+01 1.646E+01 
4.500E+01 1.801E+01 
5.000E+01 1.948E+01 
5.500E+01 2.090E+01 
6.000E+01 2.227E+01 
7.000E+01 2.486E+01 
8.000E+01 2.727E+01 
9.000E+01 2.954E+01 
1.000E+02 3.167E+01 
1.250E+02 3.652E+01 
1.500E+02 4.081E+01 
1.750E+02 4.466E+01 
2.000E+02 4.814E+01 
2.500E+02 5.425E+01 
3.000E+02 5.950E+01 
3.500E+02 6.410E+01 
4.000E+02 6.819E+01 
4.500E+02 7.187E+01 
5.000E+02 7.522E+01 
5.500E+02 7.829E+01 
6.000E+02 8.113E+01 
7.000E+02 8.622E+01 
8.000E+02 9.069E+01 
9.000E+02 9.468E+01 
1.000E+03 9.829E+01 
