ESTAR: Stopping Powers and Range Tables for Electrons

POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)                                            

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 2.580E-04 
1.250E-02 3.826E-04 
1.500E-02 5.282E-04 
1.750E-02 6.940E-04 
2.000E-02 8.793E-04 
2.500E-02 1.306E-03 
3.000E-02 1.803E-03 
3.500E-02 2.368E-03 
4.000E-02 2.997E-03 
4.500E-02 3.687E-03 
5.000E-02 4.436E-03 
5.500E-02 5.241E-03 
6.000E-02 6.100E-03 
7.000E-02 7.972E-03 
8.000E-02 1.004E-02 
9.000E-02 1.228E-02 
1.000E-01 1.470E-02 
1.250E-01 2.140E-02 
1.500E-01 2.894E-02 
1.750E-01 3.721E-02 
2.000E-01 4.610E-02 
2.500E-01 6.547E-02 
3.000E-01 8.653E-02 
3.500E-01 1.089E-01 
4.000E-01 1.323E-01 
4.500E-01 1.566E-01 
5.000E-01 1.815E-01 
5.500E-01 2.070E-01 
6.000E-01 2.330E-01 
7.000E-01 2.860E-01 
8.000E-01 3.401E-01 
9.000E-01 3.950E-01 
1.000E+00 4.504E-01 
1.250E+00 5.902E-01 
1.500E+00 7.308E-01 
1.750E+00 8.715E-01 
2.000E+00 1.012E+00 
2.500E+00 1.291E+00 
3.000E+00 1.567E+00 
3.500E+00 1.839E+00 
4.000E+00 2.109E+00 
4.500E+00 2.376E+00 
5.000E+00 2.641E+00 
5.500E+00 2.903E+00 
6.000E+00 3.162E+00 
7.000E+00 3.673E+00 
8.000E+00 4.176E+00 
9.000E+00 4.671E+00 
1.000E+01 5.158E+00 
1.250E+01 6.347E+00 
1.500E+01 7.496E+00 
1.750E+01 8.610E+00 
2.000E+01 9.693E+00 
2.500E+01 1.177E+01 
3.000E+01 1.375E+01 
3.500E+01 1.563E+01 
4.000E+01 1.743E+01 
4.500E+01 1.915E+01 
5.000E+01 2.081E+01 
5.500E+01 2.240E+01 
6.000E+01 2.393E+01 
7.000E+01 2.684E+01 
8.000E+01 2.955E+01 
9.000E+01 3.210E+01 
1.000E+02 3.450E+01 
1.250E+02 3.996E+01 
1.500E+02 4.479E+01 
1.750E+02 4.912E+01 
2.000E+02 5.303E+01 
2.500E+02 5.990E+01 
3.000E+02 6.579E+01 
3.500E+02 7.095E+01 
4.000E+02 7.553E+01 
4.500E+02 7.965E+01 
5.000E+02 8.340E+01 
5.500E+02 8.684E+01 
6.000E+02 9.000E+01 
7.000E+02 9.569E+01 
8.000E+02 1.007E+02 
9.000E+02 1.051E+02 
1.000E+03 1.092E+02 
